Measure_seaMeanlevel,date,Value_seaMeanlevel
Bering Sea,2000-02-25,-80.16
Mediterranean,2000-02-25,-39.97
North Sea,2000-02-25,3.01
Sea Okhotsk,2000-02-25,4.56
South China,2000-02-25,64.32
Arabian Sea,2000-02-26,-20.2
Atlantic Ocean,2000-02-26,-9.35
Bay Bengal,2000-02-26,-3.15
Caribbean Sea,2000-02-26,-85.69
Gulf Mexico,2000-02-26,-29.3
Indian Ocean,2000-02-26,-3.78
Indonesian,2000-02-26,157.78
Nino,2000-02-26,-9.05
North Atlantic,2000-02-26,-21.23
North Pacific,2000-02-26,-43.15
Pacific Ocean,2000-02-26,-4.86
Persian Gulf,2000-02-26,-64.39
Sea Japan,2000-02-26,5.88
Southern Ocean,2000-02-26,19.08
Tropics,2000-02-26,-7.36
World,2000-02-26,-4.38
Yellow Sea,2000-02-26,-45.24
Adriatic Sea,2000-02-27,-22.24
Andaman Sea,2000-03-06,-42.46
Baltic Sea,2000-03-06,249.2
Bay Bengal,2000-03-06,-5.05
Mediterranean,2000-03-06,-89.87
North Sea,2000-03-06,69.21
Sea Japan,2000-03-06,-25.62
Sea Okhotsk,2000-03-06,-17.54
South China,2000-03-06,31.42
Arabian Sea,2000-03-07,-16.1
Atlantic Ocean,2000-03-07,-14.55
Bering Sea,2000-03-07,-56.36
Caribbean Sea,2000-03-07,-86.39
Gulf Mexico,2000-03-07,-41.2
Indian Ocean,2000-03-07,-3.28
Indonesian,2000-03-07,149.68
Nino,2000-03-07,-16.55
North Atlantic,2000-03-07,-26.23
North Pacific,2000-03-07,-40.05
Pacific Ocean,2000-03-07,-9.96
Southern Ocean,2000-03-07,17.78
Tropics,2000-03-07,-13.76
World,2000-03-07,-9.08
Yellow Sea,2000-03-07,-47.44
Adriatic Sea,2000-03-08,-78.64
Andaman Sea,2000-03-16,-23.56
Baltic Sea,2000-03-16,318.9
Bay Bengal,2000-03-16,-6.25
Bering Sea,2000-03-16,-40.26
Gulf Mexico,2000-03-16,-49.2
Mediterranean,2000-03-16,-79.97
North Sea,2000-03-16,36.01
Sea Japan,2000-03-16,-31.32
Sea Okhotsk,2000-03-16,2.06
South China,2000-03-16,-8.08
Arabian Sea,2000-03-17,-12.2
Atlantic Ocean,2000-03-17,-23.75
Caribbean Sea,2000-03-17,-87.79
Indian Ocean,2000-03-17,-6.98
Indonesian,2000-03-17,144.48
Nino,2000-03-17,-20.85
North Atlantic,2000-03-17,-38.13
North Pacific,2000-03-17,-37.05
Pacific Ocean,2000-03-17,-4.06
Southern Ocean,2000-03-17,18.98
Tropics,2000-03-17,-16.06
World,2000-03-17,-9.38
Yellow Sea,2000-03-17,-49.14
Adriatic Sea,2000-03-18,-77.34
Andaman Sea,2000-03-26,-29.76
Baltic Sea,2000-03-26,87.7
Bay Bengal,2000-03-26,16.25
Bering Sea,2000-03-26,-62.26
Indian Ocean,2000-03-26,6.82
Indonesian,2000-03-26,151.18
Mediterranean,2000-03-26,-84.27
North Sea,2000-03-26,-93.99
Persian Gulf,2000-03-26,-36.99
Sea Japan,2000-03-26,-30.82
South China,2000-03-26,22.62
Southern Ocean,2000-03-26,37.38
Arabian Sea,2000-03-27,-0.5
Atlantic Ocean,2000-03-27,-15.15
Caribbean Sea,2000-03-27,-84.99
Gulf Mexico,2000-03-27,-36.0
Nino,2000-03-27,-6.95
North Atlantic,2000-03-27,-42.53
North Pacific,2000-03-27,-38.55
Pacific Ocean,2000-03-27,3.44
Sea Okhotsk,2000-03-27,-7.54
Tropics,2000-03-27,-7.46
World,2000-03-27,-0.98
Yellow Sea,2000-03-27,-70.74
Adriatic Sea,2000-03-28,-62.04
Andaman Sea,2000-04-15,6.44
Arabian Sea,2000-04-15,17.9
Atlantic Ocean,2000-04-15,-1.55
Bay Bengal,2000-04-15,38.75
Gulf Mexico,2000-04-15,-6.8
Indian Ocean,2000-04-15,6.92
Indonesian,2000-04-15,141.08
Mediterranean,2000-04-15,24.53
Nino,2000-04-15,-6.55
North Pacific,2000-04-15,-45.75
Pacific Ocean,2000-04-15,-6.96
Persian Gulf,2000-04-15,-59.79
Sea Japan,2000-04-15,-73.82
Sea Okhotsk,2000-04-15,9.16
South China,2000-04-15,-22.28
Southern Ocean,2000-04-15,25.78
Tropics,2000-04-15,-5.96
World,2000-04-15,-2.38
Adriatic Sea,2000-04-16,67.66
Bering Sea,2000-04-16,-64.56
Caribbean Sea,2000-04-16,-71.89
North Atlantic,2000-04-16,-20.33
Yellow Sea,2000-04-16,-99.84
Andaman Sea,2000-04-25,75.14
Arabian Sea,2000-04-25,23.1
Atlantic Ocean,2000-04-25,-5.05
Bay Bengal,2000-04-25,34.35
Bering Sea,2000-04-25,-69.56
Gulf Mexico,2000-04-25,-0.6
Indian Ocean,2000-04-25,-2.38
Indonesian,2000-04-25,142.18
Mediterranean,2000-04-25,17.83
Nino,2000-04-25,-14.25
North Pacific,2000-04-25,-49.95
Pacific Ocean,2000-04-25,-14.46
Persian Gulf,2000-04-25,-45.69
Sea Japan,2000-04-25,-62.52
Sea Okhotsk,2000-04-25,-3.74
South China,2000-04-25,-39.08
Southern Ocean,2000-04-25,12.48
Tropics,2000-04-25,-8.66
World,2000-04-25,-8.28
Adriatic Sea,2000-04-26,55.46
Caribbean Sea,2000-04-26,-58.49
North Atlantic,2000-04-26,-26.53
Yellow Sea,2000-04-26,-64.84
Andaman Sea,2000-05-05,65.94
Arabian Sea,2000-05-05,7.0
Atlantic Ocean,2000-05-05,-17.05
Bay Bengal,2000-05-05,41.35
Bering Sea,2000-05-05,-56.96
Gulf Mexico,2000-05-05,-16.9
Indian Ocean,2000-05-05,-15.88
Indonesian,2000-05-05,97.38
Mediterranean,2000-05-05,-30.17
Nino,2000-05-05,-22.65
North Atlantic,2000-05-05,-39.33
North Pacific,2000-05-05,-48.05
North Sea,2000-05-05,-93.59
Pacific Ocean,2000-05-05,-10.46
Sea Japan,2000-05-05,-78.12
Sea Okhotsk,2000-05-05,-15.64
South China,2000-05-05,-39.88
Southern Ocean,2000-05-05,14.38
Tropics,2000-05-05,-16.16
World,2000-05-05,-12.68
Adriatic Sea,2000-05-06,-5.64
Caribbean Sea,2000-05-06,-61.29
Yellow Sea,2000-05-06,-69.64
Andaman Sea,2000-05-15,77.34
Arabian Sea,2000-05-15,34.8
Atlantic Ocean,2000-05-15,-14.65
Bay Bengal,2000-05-15,59.75
Bering Sea,2000-05-15,-50.76
Gulf Mexico,2000-05-15,-8.0
Indian Ocean,2000-05-15,-4.28
Indonesian,2000-05-15,89.08
Mediterranean,2000-05-15,-60.87
Nino,2000-05-15,-26.15
North Atlantic,2000-05-15,-24.73
North Pacific,2000-05-15,-45.85
North Sea,2000-05-15,-65.69
Pacific Ocean,2000-05-15,-15.06
Persian Gulf,2000-05-15,-57.49
Sea Japan,2000-05-15,-82.92
Sea Okhotsk,2000-05-15,-18.94
South China,2000-05-15,-34.88
Southern Ocean,2000-05-15,13.98
Tropics,2000-05-15,-15.66
World,2000-05-15,-12.08
Adriatic Sea,2000-05-16,-50.84
Caribbean Sea,2000-05-16,-47.09
Yellow Sea,2000-05-16,-44.84
Andaman Sea,2000-05-25,38.54
Arabian Sea,2000-05-25,38.9
Atlantic Ocean,2000-05-25,-11.55
Bay Bengal,2000-05-25,62.65
Bering Sea,2000-05-25,-41.46
Caribbean Sea,2000-05-25,-42.79
Gulf Mexico,2000-05-25,15.2
Indian Ocean,2000-05-25,16.82
Indonesian,2000-05-25,73.78
Mediterranean,2000-05-25,-47.37
Nino,2000-05-25,-12.95
North Atlantic,2000-05-25,-16.23
North Pacific,2000-05-25,-42.15
North Sea,2000-05-25,-44.29
Pacific Ocean,2000-05-25,-17.26
Persian Gulf,2000-05-25,36.91
Sea Japan,2000-05-25,-68.92
Sea Okhotsk,2000-05-25,7.76
South China,2000-05-25,-16.18
Southern Ocean,2000-05-25,7.48
Tropics,2000-05-25,-8.46
World,2000-05-25,-8.18
Adriatic Sea,2000-05-26,-24.34
Yellow Sea,2000-05-26,-32.14
Baltic Sea,2000-06-03,11.2
Sea Okhotsk,2000-06-03,-15.24
Andaman Sea,2000-06-04,79.34
Arabian Sea,2000-06-04,35.8
Atlantic Ocean,2000-06-04,-7.25
Bay Bengal,2000-06-04,52.25
Bering Sea,2000-06-04,-54.16
Gulf Mexico,2000-06-04,13.8
Indian Ocean,2000-06-04,21.12
Indonesian,2000-06-04,37.28
Mediterranean,2000-06-04,-55.67
Nino,2000-06-04,-4.65
North Atlantic,2000-06-04,-14.83
North Pacific,2000-06-04,-40.45
North Sea,2000-06-04,-60.09
Pacific Ocean,2000-06-04,-10.36
Persian Gulf,2000-06-04,14.21
Sea Japan,2000-06-04,-59.42
South China,2000-06-04,-32.78
Southern Ocean,2000-06-04,5.68
Tropics,2000-06-04,-0.26
World,2000-06-04,-3.68
Adriatic Sea,2000-06-05,-36.44
Caribbean Sea,2000-06-05,-30.19
Yellow Sea,2000-06-05,-36.04
Baltic Sea,2000-06-13,52.8
Andaman Sea,2000-06-14,88.44
Arabian Sea,2000-06-14,-7.6
Atlantic Ocean,2000-06-14,-10.05
Bay Bengal,2000-06-14,39.05
Bering Sea,2000-06-14,-35.66
Caribbean Sea,2000-06-14,-20.99
Gulf Mexico,2000-06-14,19.8
Indian Ocean,2000-06-14,-1.18
Indonesian,2000-06-14,22.58
Mediterranean,2000-06-14,-47.57
Nino,2000-06-14,-8.85
North Atlantic,2000-06-14,-7.63
North Pacific,2000-06-14,-12.35
North Sea,2000-06-14,-10.99
Pacific Ocean,2000-06-14,-3.46
Persian Gulf,2000-06-14,-74.89
Sea Japan,2000-06-14,-34.52
Sea Okhotsk,2000-06-14,9.36
South China,2000-06-14,-26.48
Southern Ocean,2000-06-14,-0.72
Tropics,2000-06-14,-3.86
World,2000-06-14,-4.78
Adriatic Sea,2000-06-15,-30.44
Yellow Sea,2000-06-15,7.46
Andaman Sea,2000-06-23,61.24
Baltic Sea,2000-06-23,45.0
Bay Bengal,2000-06-23,10.35
North Sea,2000-06-23,-27.49
Sea Okhotsk,2000-06-23,2.96
Arabian Sea,2000-06-24,-16.9
Atlantic Ocean,2000-06-24,-23.95
Bering Sea,2000-06-24,2.64
Caribbean Sea,2000-06-24,-14.09
Gulf Mexico,2000-06-24,18.8
Indian Ocean,2000-06-24,-12.78
Indonesian,2000-06-24,15.38
Mediterranean,2000-06-24,-54.17
Nino,2000-06-24,-14.35
North Atlantic,2000-06-24,-3.63
North Pacific,2000-06-24,-8.55
Pacific Ocean,2000-06-24,2.34
Persian Gulf,2000-06-24,-92.29
Sea Japan,2000-06-24,-52.32
South China,2000-06-24,-28.78
Southern Ocean,2000-06-24,-6.22
Tropics,2000-06-24,-8.76
World,2000-06-24,-7.88
Adriatic Sea,2000-06-25,-52.24
Yellow Sea,2000-06-25,5.26
Baltic Sea,2000-07-03,68.0
Bay Bengal,2000-07-03,8.95
North Sea,2000-07-03,-43.39
Andaman Sea,2000-07-04,91.14
Arabian Sea,2000-07-04,-28.0
Atlantic Ocean,2000-07-04,-23.05
Bering Sea,2000-07-04,-2.46
Caribbean Sea,2000-07-04,-18.99
Gulf Mexico,2000-07-04,14.7
Indian Ocean,2000-07-04,-16.48
Indonesian,2000-07-04,7.18
Mediterranean,2000-07-04,-20.97
Nino,2000-07-04,-21.45
North Atlantic,2000-07-04,0.17
North Pacific,2000-07-04,0.75
Pacific Ocean,2000-07-04,-0.96
Persian Gulf,2000-07-04,-70.59
Sea Japan,2000-07-04,-32.02
Sea Okhotsk,2000-07-04,9.36
South China,2000-07-04,-5.28
Southern Ocean,2000-07-04,-8.72
Tropics,2000-07-04,-12.36
World,2000-07-04,-9.48
Yellow Sea,2000-07-04,40.36
Adriatic Sea,2000-07-06,4.96
Baltic Sea,2000-07-13,31.2
Bay Bengal,2000-07-13,-2.35
Andaman Sea,2000-07-14,101.94
Arabian Sea,2000-07-14,-33.4
Atlantic Ocean,2000-07-14,-12.45
Bering Sea,2000-07-14,-18.86
Caribbean Sea,2000-07-14,-12.99
Gulf Mexico,2000-07-14,17.7
Indian Ocean,2000-07-14,-28.68
Indonesian,2000-07-14,18.58
Mediterranean,2000-07-14,4.13
Nino,2000-07-14,-18.35
North Atlantic,2000-07-14,12.47
North Pacific,2000-07-14,18.05
North Sea,2000-07-14,-39.59
Pacific Ocean,2000-07-14,4.54
Persian Gulf,2000-07-14,-56.09
Sea Japan,2000-07-14,0.18
Sea Okhotsk,2000-07-14,16.06
South China,2000-07-14,1.92
Southern Ocean,2000-07-14,-12.02
Tropics,2000-07-14,-7.86
World,2000-07-14,-5.98
Yellow Sea,2000-07-14,53.56
Adriatic Sea,2000-07-15,18.36
Andaman Sea,2000-08-02,41.44
Baltic Sea,2000-08-02,50.6
Bay Bengal,2000-08-02,18.35
Mediterranean,2000-08-02,13.63
Persian Gulf,2000-08-02,0.91
Sea Okhotsk,2000-08-02,17.66
South China,2000-08-02,-39.98
Arabian Sea,2000-08-03,-29.3
Atlantic Ocean,2000-08-03,0.45
Bering Sea,2000-08-03,12.74
Caribbean Sea,2000-08-03,0.71
Gulf Mexico,2000-08-03,36.0
Indian Ocean,2000-08-03,-2.08
Indonesian,2000-08-03,-16.82
Nino,2000-08-03,-6.95
North Atlantic,2000-08-03,42.17
North Pacific,2000-08-03,35.65
North Sea,2000-08-03,-12.89
Pacific Ocean,2000-08-03,-2.06
Sea Japan,2000-08-03,23.98
Southern Ocean,2000-08-03,-13.92
Tropics,2000-08-03,-5.46
World,2000-08-03,-1.78
Yellow Sea,2000-08-03,45.56
Adriatic Sea,2000-08-04,24.96
Andaman Sea,2000-08-11,48.54
Baltic Sea,2000-08-12,82.0
Bay Bengal,2000-08-12,35.65
Bering Sea,2000-08-12,4.84
Mediterranean,2000-08-12,-1.77
North Sea,2000-08-12,-13.09
Sea Japan,2000-08-12,30.08
Sea Okhotsk,2000-08-12,29.36
South China,2000-08-12,-11.18
Arabian Sea,2000-08-13,-31.9
Atlantic Ocean,2000-08-13,-5.25
Caribbean Sea,2000-08-13,-0.09
Gulf Mexico,2000-08-13,35.9
Indian Ocean,2000-08-13,-10.18
Indonesian,2000-08-13,-18.42
Nino,2000-08-13,-3.25
North Atlantic,2000-08-13,43.87
North Pacific,2000-08-13,42.95
Pacific Ocean,2000-08-13,6.64
Persian Gulf,2000-08-13,49.51
Southern Ocean,2000-08-13,-14.72
Tropics,2000-08-13,-3.06
World,2000-08-13,0.32
Yellow Sea,2000-08-13,67.06
Adriatic Sea,2000-08-14,-21.84
Andaman Sea,2000-08-22,86.04
Arabian Sea,2000-08-22,-46.8
Baltic Sea,2000-08-22,93.1
Indonesian,2000-08-22,-4.52
Mediterranean,2000-08-22,25.63
North Sea,2000-08-22,-9.89
Persian Gulf,2000-08-22,-28.29
Sea Okhotsk,2000-08-22,14.86
South China,2000-08-22,-24.58
Adriatic Sea,2000-08-23,-16.64
Atlantic Ocean,2000-08-23,-7.95
Bay Bengal,2000-08-23,4.25
Bering Sea,2000-08-23,1.74
Caribbean Sea,2000-08-23,12.51
Gulf Mexico,2000-08-23,23.4
Indian Ocean,2000-08-23,-19.88
Nino,2000-08-23,-12.45
North Atlantic,2000-08-23,43.57
North Pacific,2000-08-23,57.75
Pacific Ocean,2000-08-23,9.24
Sea Japan,2000-08-23,64.08
Southern Ocean,2000-08-23,-15.32
Tropics,2000-08-23,-7.66
World,2000-08-23,-0.98
Yellow Sea,2000-08-23,91.56
Baltic Sea,2000-08-31,56.0
Andaman Sea,2000-09-01,93.84
Bay Bengal,2000-09-01,-4.85
Gulf Mexico,2000-09-01,25.8
Indian Ocean,2000-09-01,-31.78
Indonesian,2000-09-01,-3.22
Mediterranean,2000-09-01,23.43
Nino,2000-09-01,-19.85
North Sea,2000-09-01,10.91
Pacific Ocean,2000-09-01,3.94
Persian Gulf,2000-09-01,-80.69
Sea Japan,2000-09-01,87.98
Sea Okhotsk,2000-09-01,33.76
South China,2000-09-01,-10.28
Arabian Sea,2000-09-02,-79.4
Atlantic Ocean,2000-09-02,-9.75
Bering Sea,2000-09-02,-9.86
Caribbean Sea,2000-09-02,-1.59
North Atlantic,2000-09-02,38.57
North Pacific,2000-09-02,57.15
Southern Ocean,2000-09-02,-22.12
Tropics,2000-09-02,-12.66
World,2000-09-02,-6.38
Yellow Sea,2000-09-02,120.36
Adriatic Sea,2000-09-03,17.36
Baltic Sea,2000-09-10,27.6
Andaman Sea,2000-09-11,41.94
Arabian Sea,2000-09-11,-69.5
Bay Bengal,2000-09-11,-10.65
Gulf Mexico,2000-09-11,50.2
Indian Ocean,2000-09-11,-43.28
Indonesian,2000-09-11,-15.72
Mediterranean,2000-09-11,38.73
Nino,2000-09-11,-8.45
North Pacific,2000-09-11,52.55
North Sea,2000-09-11,19.21
Pacific Ocean,2000-09-11,8.44
Persian Gulf,2000-09-11,6.31
Sea Japan,2000-09-11,-31.62
Sea Okhotsk,2000-09-11,-15.54
South China,2000-09-11,15.52
Southern Ocean,2000-09-11,-25.42
Tropics,2000-09-11,-5.36
World,2000-09-11,-1.78
Adriatic Sea,2000-09-12,11.46
Atlantic Ocean,2000-09-12,7.75
Bering Sea,2000-09-12,-15.26
Caribbean Sea,2000-09-12,27.11
North Atlantic,2000-09-12,61.37
Yellow Sea,2000-09-12,147.46
Baltic Sea,2000-09-20,-67.3
Andaman Sea,2000-09-21,11.84
Arabian Sea,2000-09-21,-50.3
Atlantic Ocean,2000-09-21,11.25
Bay Bengal,2000-09-21,14.15
Bering Sea,2000-09-21,13.94
Indian Ocean,2000-09-21,-14.68
Indonesian,2000-09-21,3.38
Mediterranean,2000-09-21,67.13
Nino,2000-09-21,8.05
North Atlantic,2000-09-21,66.87
North Pacific,2000-09-21,57.25
North Sea,2000-09-21,-64.39
Pacific Ocean,2000-09-21,12.14
Persian Gulf,2000-09-21,25.61
Sea Japan,2000-09-21,89.08
Sea Okhotsk,2000-09-21,12.46
South China,2000-09-21,56.62
Southern Ocean,2000-09-21,-15.32
Tropics,2000-09-21,5.74
World,2000-09-21,8.02
Adriatic Sea,2000-09-22,32.66
Caribbean Sea,2000-09-22,28.31
Gulf Mexico,2000-09-22,41.7
Yellow Sea,2000-09-22,108.06
Andaman Sea,2000-10-01,-3.16
Arabian Sea,2000-10-01,-45.0
Atlantic Ocean,2000-10-01,11.65
Bay Bengal,2000-10-01,5.25
Bering Sea,2000-10-01,6.34
Gulf Mexico,2000-10-01,48.7
Indian Ocean,2000-10-01,6.02
Indonesian,2000-10-01,21.98
Mediterranean,2000-10-01,47.03
Nino,2000-10-01,13.25
North Pacific,2000-10-01,58.05
North Sea,2000-10-01,-6.39
Pacific Ocean,2000-10-01,15.94
Persian Gulf,2000-10-01,62.11
Sea Japan,2000-10-01,86.98
Sea Okhotsk,2000-10-01,35.76
South China,2000-10-01,29.52
Southern Ocean,2000-10-01,-4.72
Tropics,2000-10-01,10.14
World,2000-10-01,13.22
Caribbean Sea,2000-10-02,16.81
North Atlantic,2000-10-02,72.77
Yellow Sea,2000-10-02,102.96
Adriatic Sea,2000-10-03,45.26
Andaman Sea,2000-10-11,33.94
Arabian Sea,2000-10-11,-49.5
Atlantic Ocean,2000-10-11,0.95
Bay Bengal,2000-10-11,10.25
Bering Sea,2000-10-11,-12.76
Indian Ocean,2000-10-11,6.02
Indonesian,2000-10-11,34.38
Mediterranean,2000-10-11,60.43
Nino,2000-10-11,8.95
North Atlantic,2000-10-11,55.77
North Pacific,2000-10-11,56.15
North Sea,2000-10-11,-72.39
Pacific Ocean,2000-10-11,19.04
Persian Gulf,2000-10-11,63.31
Sea Japan,2000-10-11,28.48
Sea Okhotsk,2000-10-11,18.96
South China,2000-10-11,38.02
Southern Ocean,2000-10-11,-0.02
Tropics,2000-10-11,9.14
World,2000-10-11,12.32
Adriatic Sea,2000-10-12,80.96
Caribbean Sea,2000-10-12,23.01
Gulf Mexico,2000-10-12,83.0
Yellow Sea,2000-10-12,81.36
Andaman Sea,2000-10-21,43.64
Arabian Sea,2000-10-21,-57.3
Atlantic Ocean,2000-10-21,18.75
Bay Bengal,2000-10-21,-18.25
Bering Sea,2000-10-21,-37.06
Caribbean Sea,2000-10-21,36.61
Gulf Mexico,2000-10-21,77.0
Indian Ocean,2000-10-21,-12.68
Indonesian,2000-10-21,37.08
Mediterranean,2000-10-21,60.03
Nino,2000-10-21,5.65
North Atlantic,2000-10-21,70.57
North Pacific,2000-10-21,51.85
North Sea,2000-10-21,47.61
Pacific Ocean,2000-10-21,3.14
Persian Gulf,2000-10-21,-16.99
Sea Japan,2000-10-21,52.98
Sea Okhotsk,2000-10-21,-18.14
South China,2000-10-21,57.52
Southern Ocean,2000-10-21,-11.62
Tropics,2000-10-21,0.74
World,2000-10-21,5.02
Adriatic Sea,2000-10-22,42.56
Yellow Sea,2000-10-22,69.46
Andaman Sea,2000-11-10,72.04
Arabian Sea,2000-11-10,-45.7
Atlantic Ocean,2000-11-10,12.25
Bay Bengal,2000-11-10,-17.15
Bering Sea,2000-11-10,-27.46
Caribbean Sea,2000-11-10,25.31
Gulf Mexico,2000-11-10,72.4
Indian Ocean,2000-11-10,-15.18
Indonesian,2000-11-10,70.48
Mediterranean,2000-11-10,68.43
Nino,2000-11-10,12.15
North Atlantic,2000-11-10,61.37
North Pacific,2000-11-10,49.05
Pacific Ocean,2000-11-10,5.04
Persian Gulf,2000-11-10,8.41
Sea Japan,2000-11-10,80.78
Sea Okhotsk,2000-11-10,-6.34
South China,2000-11-10,76.72
Southern Ocean,2000-11-10,-17.82
Tropics,2000-11-10,4.14
World,2000-11-10,4.92
Adriatic Sea,2000-11-11,134.96
Yellow Sea,2000-11-11,48.26
Baltic Sea,2000-11-19,-82.3
North Sea,2000-11-19,-98.39
Andaman Sea,2000-11-20,43.64
Arabian Sea,2000-11-20,-29.3
Atlantic Ocean,2000-11-20,11.65
Bay Bengal,2000-11-20,-11.85
Bering Sea,2000-11-20,-76.26
Caribbean Sea,2000-11-20,21.61
Gulf Mexico,2000-11-20,64.6
Indian Ocean,2000-11-20,-2.18
Indonesian,2000-11-20,75.68
Mediterranean,2000-11-20,74.33
Nino,2000-11-20,11.95
North Atlantic,2000-11-20,47.07
North Pacific,2000-11-20,37.95
Pacific Ocean,2000-11-20,5.74
Persian Gulf,2000-11-20,82.21
Sea Japan,2000-11-20,77.88
Sea Okhotsk,2000-11-20,-41.24
South China,2000-11-20,109.92
Southern Ocean,2000-11-20,-7.92
Tropics,2000-11-20,7.84
World,2000-11-20,7.82
Adriatic Sea,2000-11-21,117.46
Yellow Sea,2000-11-21,38.06
Andaman Sea,2000-11-30,68.04
Arabian Sea,2000-11-30,-56.1
Atlantic Ocean,2000-11-30,11.35
Bay Bengal,2000-11-30,-19.05
Bering Sea,2000-11-30,-25.66
Gulf Mexico,2000-11-30,26.9
Indian Ocean,2000-11-30,-14.08
Indonesian,2000-11-30,106.38
Mediterranean,2000-11-30,117.33
Nino,2000-11-30,10.15
North Atlantic,2000-11-30,40.07
